iter	RMSE
0	1668.581648
1	1641.381209
2	1615.032405
3	1590.296851
4	1565.215354
5	1542.596915
6	1520.038795
7	1498.616758
8	1478.186411
9	1459.816139
10	1441.043406
11	1423.124995
12	1405.730491
13	1389.48329
14	1374.034059
15	1359.581039
16	1347.336078
17	1333.776694
18	1321.173258
19	1308.795551
20	1296.65466
21	1285.032772
22	1274.814661
23	1264.535351
24	1254.351233
25	1245.087424
26	1236.523557
27	1228.162502
28	1220.177149
29	1212.828937
30	1205.556538
31	1199.016555
32	1192.467657
33	1186.080933
34	1180.276833
35	1175.128718
36	1170.490096
37	1165.006665
38	1159.777337
39	1154.782951
40	1150.26367
41	1145.912166
42	1141.994178
43	1137.984667
44	1134.139093
45	1130.66991
46	1127.239913
47	1123.831641
48	1120.88047
49	1118.148126
50	1115.589691
51	1113.090256
52	1111.01968
53	1108.705856
54	1106.235855
55	1104.514854
56	1102.684023
57	1100.879875
58	1098.907881
59	1097.382877
60	1095.547622
61	1093.783868
62	1092.495347
63	1091.330212
64	1090.527315
65	1089.404707
66	1088.10571
67	1086.665265
68	1085.504531
69	1084.359869
70	1083.265555
71	1082.425852
72	1081.553011
73	1080.578259
74	1079.619057
75	1078.675203
76	1077.989021
77	1077.098061
78	1076.196514
79	1075.484752
80	1074.805558
81	1074.33009
82	1073.580723
83	1072.809984
84	1072.080362
85	1071.419351
86	1070.967681
87	1070.393173
88	1069.853447
89	1069.518098
90	1069.172048
91	1068.831879
92	1068.217369
93	1067.767012
94	1067.445465
95	1067.142001
96	1066.82391
97	1066.303929
98	1065.791414
99	1065.344475
100	1065.208171
101	1064.97813
102	1064.681816
103	1064.211184
104	1064.037689
105	1063.618891
106	1063.414685
107	1063.080148
108	1062.813642
109	1062.5978
110	1062.290102
111	1062.146749
112	1061.978257
113	1061.764023
114	1061.442241
115	1061.184208
116	1061.162843
117	1060.910412
118	1060.68293
119	1060.631474
120	1060.565539
121	1060.565485
122	1060.099588
123	1059.82359
124	1059.682219
125	1059.427644
126	1059.170146
127	1058.909741
128	1058.61619
129	1058.615344
130	1058.386912
131	1058.28501
132	1058.099041
133	1057.731606
134	1057.588511
135	1057.4663
136	1057.348837
137	1057.166308
138	1057.060939
139	1056.979311
140	1056.966131
141	1056.762574
142	1056.752402
143	1056.514283
144	1056.226898
145	1056.226814
146	1056.065014
147	1055.927386
148	1055.710229
149	1055.636275
150	1055.636181
151	1055.554297
152	1055.419133
153	1055.404783
154	1055.316777
155	1055.27815
156	1055.273099
157	1055.185627
158	1055.17577
159	1055.028601
160	1054.810233
161	1054.738369
162	1054.575867
163	1054.498404
164	1054.431058
165	1054.424166
166	1054.391858
167	1054.275061
168	1054.206358
169	1054.073869
170	1054.027239
171	1053.971629
172	1053.892133
173	1053.891468
174	1053.884762
175	1053.792665
176	1053.792042
177	1053.694437
178	1053.385571
179	1053.307008
180	1053.253144
181	1053.22067
182	1053.1711
183	1053.170488
184	1053.137551
185	1053.105256
186	1053.081311
187	1052.902345
188	1052.819551
189	1052.716836
190	1052.655616
191	1052.560007
192	1052.560007
193	1052.354451
194	1052.312721
195	1052.218249
196	1052.153605
197	1052.106037
198	1051.904125
199	1051.82716
200	1051.54567
201	1051.44155
202	1051.439236
203	1051.285146
204	1051.080596
205	1050.915462
206	1050.890672
207	1050.635543
208	1050.614135
209	1050.55381
210	1050.457905
211	1050.285766
212	1050.237074
213	1050.216287
214	1050.191831
215	1050.103166
216	1049.74739
217	1049.532411
218	1049.44627
219	1049.416633
220	1049.393343
221	1049.176086
222	1049.045991
223	1049.0454
224	1049.02437
225	1049.009057
226	1048.878761
227	1048.524361
228	1048.389414
229	1048.103139
230	1048.032844
231	1047.862842
232	1047.801553
233	1047.742425
234	1047.700065
235	1047.570902
236	1047.570901
237	1047.568433
238	1047.329781
239	1047.222328
240	1047.22174
241	1047.180374
242	1047.108602
243	1047.056111
244	1046.662607
245	1046.643753
246	1046.62045
247	1046.531095
248	1046.435906
249	1046.301926
250	1046.001516
251	1045.956636
252	1045.817103
253	1045.690513
254	1045.607984
255	1045.430814
256	1045.415407
257	1045.324396
258	1045.324395
259	1045.269428
260	1045.26438
261	1045.13694
262	1045.052206
263	1044.970999
264	1044.889398
265	1044.757256
266	1044.671958
267	1044.550104
268	1044.425417
269	1044.291363
270	1044.195343
271	1044.053608
272	1043.934676
273	1043.707511
274	1043.495022
275	1043.493902
276	1043.428037
277	1043.304919
278	1043.293421
279	1043.243825
280	1042.921607
281	1042.795063
282	1042.754404
283	1042.72775
284	1042.655349
285	1042.577376
286	1042.461595
287	1042.341473
288	1042.231197
289	1042.041016
290	1041.961165
291	1041.848278
292	1041.73186
293	1041.625581
294	1041.528494
295	1041.509975
296	1041.369826
297	1041.332836
298	1041.063042
299	1041.039843
300	1041.003561
301	1040.916743
302	1040.90372
303	1040.768488
304	1040.730622
305	1040.6743
306	1040.60412
307	1040.277757
308	1040.202997
309	1040.186847
310	1040.02669
311	1040.015951
312	1039.968062
313	1039.941271
314	1039.797968
315	1039.744336
316	1039.555101
317	1039.483282
318	1039.40007
319	1039.267818
320	1039.092657
321	1039.029252
322	1038.938253
323	1038.895811
324	1038.717597
325	1038.406044
326	1038.275861
327	1038.271338
328	1038.242423
329	1038.236389
330	1038.030931
331	1037.957942
332	1037.932964
333	1037.919327
334	1037.917776
335	1037.720374
336	1037.703471
337	1037.667188
338	1037.500341
339	1037.421143
340	1037.103096
341	1037.029574
342	1036.692569
343	1036.671881
344	1036.624646
345	1036.58865
346	1036.56146
347	1036.515764
348	1036.49175
349	1036.38629
350	1036.373666
351	1036.156271
352	1036.094726
353	1036.035072
354	1035.986305
355	1035.943124
356	1035.858212
357	1035.75414
358	1035.471981
359	1035.366459
360	1035.247935
361	1035.191259
362	1035.06413
363	1034.995102
364	1034.916264
365	1034.913651
366	1034.890416
367	1034.821298
368	1034.814755
369	1034.769033
370	1034.657725
371	1034.525724
372	1034.507976
373	1034.465524
374	1034.415357
375	1034.400119
376	1034.384064
377	1034.294632
378	1034.204587
379	1034.163444
380	1033.927552
381	1033.909378
382	1033.840393
383	1033.825628
384	1033.81509
385	1033.780876
386	1033.748177
387	1033.706684
388	1033.69052
389	1033.67125
390	1033.656262
391	1033.50541
392	1033.493324
393	1033.442101
394	1033.347386
395	1033.334141
396	1033.291441
397	1033.22642
398	1032.789209
399	1032.731392
400	1032.65364
401	1032.507329
402	1032.225489
403	1032.150451
404	1032.114621
405	1032.041711
406	1031.938226
407	1031.916383
408	1031.668925
409	1031.531733
410	1031.456357
411	1031.325271
412	1030.959264
413	1030.809676
414	1030.734712
415	1030.654966
416	1030.589958
