iter	Passed	Remaining
0	29	146528
1	62	156372
2	90	151163
3	122	152796
4	154	154658
5	186	154891
6	217	155227
7	245	153352
8	274	152363
9	306	152969
10	336	152507
11	366	152516
12	399	153383
13	432	154010
14	467	155347
15	499	155583
16	524	153617
17	557	154188
18	593	155549
19	638	158882
20	668	158452
21	699	158251
22	735	159101
23	768	159430
24	801	159429
25	834	159555
26	867	159796
27	900	159821
28	934	160207
29	969	160691
30	1003	160835
31	1035	160721
32	1069	160993
33	1102	160977
34	1135	161107
35	1165	160743
36	1196	160490
37	1228	160467
38	1258	160138
39	1290	160003
40	1322	159944
41	1354	159850
42	1385	159712
43	1415	159388
44	1445	159175
45	1476	159026
46	1507	158884
47	1538	158771
48	1569	158620
49	1601	158592
50	1635	158700
51	1666	158569
52	1696	158345
53	1727	158266
54	1760	158279
55	1793	158320
56	1824	158216
57	1863	158760
58	1893	158580
59	1924	158456
60	1957	158486
61	1991	158584
62	2023	158581
63	2056	158593
64	2071	157270
65	2101	157104
66	2132	157028
67	2168	157254
68	2200	157251
69	2232	157246
70	2264	157237
71	2297	157273
72	2330	157301
73	2362	157265
74	2393	157158
75	2424	157092
76	2459	157253
77	2491	157238
78	2523	157172
79	2554	157106
80	2586	157089
81	2617	156963
82	2649	156968
83	2681	156951
84	2711	156797
85	2740	156589
86	2770	156449
87	2800	156329
88	2832	156302
89	2862	156191
90	2883	155576
91	2917	155624
92	2950	155699
93	2981	155625
94	3013	155589
95	3049	155773
96	3081	155763
97	3113	155747
98	3142	155561
99	3174	155555
100	3185	154514
101	3214	154380
102	3245	154324
103	3275	154198
104	3305	154085
105	3336	154067
106	3369	154072
107	3401	154080
108	3433	154052
109	3463	153956
110	3495	153973
111	3530	154098
112	3563	154095
113	3592	153983
114	3624	153970
115	3656	153969
116	3683	153743
117	3713	153641
118	3745	153637
119	3781	153773
120	3812	153745
121	3823	152870
122	3852	152749
123	3882	152662
124	3913	152627
125	3945	152607
126	3979	152675
127	4010	152635
128	4042	152641
129	4054	151886
130	4085	151839
131	4117	151838
132	4148	151819
133	4180	151813
134	4214	151873
135	4244	151794
136	4275	151769
137	4306	151732
138	4336	151656
139	4356	151226
140	4371	150651
141	4401	150575
142	4424	150264
143	4454	150223
144	4485	150195
145	4496	149479
146	4525	149391
147	4556	149390
148	4588	149383
149	4618	149345
150	4629	148679
151	4662	148715
152	4695	148740
153	4725	148712
154	4756	148686
155	4786	148640
156	4801	148121
157	4831	148076
158	4850	147693
159	4879	147589
160	4910	147583
161	4941	147579
162	4973	147601
163	5003	147550
164	5033	147491
165	5054	147180
166	5064	146557
167	5094	146526
168	5123	146467
169	5153	146407
170	5183	146374
171	5215	146392
172	5247	146416
173	5263	145988
174	5283	145680
175	5314	145675
176	5325	145118
177	5357	145145
178	5390	145180
179	5421	145168
180	5452	145172
181	5483	145153
182	5514	145161
183	5525	144635
184	5557	144635
185	5587	144624
186	5611	144432
187	5641	144408
188	5673	144420
189	5705	144432
190	5726	144178
191	5758	144192
192	5769	143691
193	5803	143768
194	5819	143409
195	5851	143423
196	5880	143381
197	5910	143344
