iter	RMSE
0	1649.603855
1	1604.510512
2	1562.27407
3	1522.919583
4	1486.623808
5	1452.990749
6	1422.214176
7	1393.763564
8	1367.069251
9	1342.769575
10	1320.653603
11	1300.30243
12	1280.852957
13	1264.107712
14	1247.235779
15	1232.264713
16	1218.304852
17	1206.458272
18	1194.506362
19	1183.657938
20	1173.792449
21	1164.472507
22	1156.346215
23	1148.392055
24	1141.263549
25	1134.280607
26	1128.186267
27	1122.738648
28	1117.648923
29	1113.20953
30	1109.021551
31	1104.902119
32	1100.90085
33	1097.043327
34	1093.735452
35	1090.601576
36	1087.620571
37	1085.60602
38	1083.23179
39	1080.958941
40	1078.821085
41	1077.077974
42	1076.064069
43	1074.416815
44	1073.037288
45	1071.468404
46	1069.988076
47	1068.974334
48	1067.535596
49	1066.505965
50	1064.663695
51	1063.385772
52	1062.223749
53	1061.318333
54	1060.557749
55	1059.514517
56	1058.433276
57	1057.951835
58	1057.361505
59	1057.013928
60	1056.316912
61	1055.18378
62	1054.303177
63	1053.067348
64	1052.356857
65	1052.013711
66	1051.469642
67	1050.889815
68	1050.338176
69	1049.70705
70	1048.974959
71	1047.750089
72	1046.869002
73	1046.616965
74	1045.623251
75	1045.132357
76	1045.10795
77	1044.266387
78	1043.449802
79	1042.743125
80	1042.63489
81	1041.356043
82	1040.736456
83	1040.464172
84	1039.939654
85	1039.047475
86	1038.421806
87	1038.004464
88	1037.943229
89	1037.730826
90	1037.137941
91	1036.907983
92	1036.275676
93	1036.22217
94	1036.22217
95	1035.903475
96	1035.584806
97	1035.315186
98	1035.002971
99	1034.870711
100	1034.707034
101	1034.536426
102	1033.997018
103	1033.796401
104	1032.984674
105	1032.851602
106	1032.532689
107	1032.08878
108	1031.721867
109	1031.183487
110	1031.085505
111	1030.889195
112	1030.270182
113	1030.002517
114	1029.632766
115	1029.591653
116	1029.229206
117	1029.042445
118	1029.014585
119	1028.018099
120	1027.530971
121	1026.902261
122	1026.119777
123	1026.00074
124	1025.572492
125	1025.560276
126	1025.397056
127	1024.73465
128	1024.544817
129	1024.105105
130	1024.049432
131	1023.419446
132	1022.867064
133	1022.378369
134	1022.163888
135	1021.868287
136	1021.399844
137	1021.351332
138	1021.180641
139	1020.781317
140	1020.615917
141	1020.319985
142	1020.314753
143	1020.170012
144	1019.093449
145	1017.941212
146	1017.600047
147	1017.006622
148	1016.979317
149	1016.5253
150	1016.090114
151	1016.027011
152	1015.800382
153	1015.726349
154	1015.700427
155	1015.166666
156	1014.5788
157	1014.352998
158	1014.273618
159	1013.484068
160	1013.307431
161	1013.091655
162	1013.091655
163	1012.519743
164	1011.642931
165	1010.8933
166	1010.813508
167	1010.801923
168	1010.170085
169	1009.542699
170	1008.629026
171	1008.30721
172	1007.900495
173	1007.737173
174	1007.648244
175	1007.332485
176	1006.74383
177	1006.622861
178	1006.470884
179	1005.885952
180	1005.234867
181	1004.744485
182	1003.543853
183	1002.469406
184	1001.855837
185	1001.335234
186	1000.828334
187	1000.675714
188	1000.453534
189	1000.129349
190	999.2413246
191	998.6805909
192	998.3226913
193	998.0331758
194	997.7896348
195	997.3305453
196	996.7836133
197	996.1694019
198	995.9221776
199	994.9274571
200	994.4501567
201	993.0478405
202	992.7055273
203	992.1659534
204	991.244691
205	990.8763788
206	990.3388422
207	989.6564041
208	988.6900612
209	987.7587804
210	987.5507278
211	986.4153389
212	986.264098
213	986.1384225
214	985.9012595
215	985.3173243
216	984.712044
217	984.1984042
218	983.2358258
219	982.4069241
220	981.4858645
221	980.6182479
222	980.3607101
223	980.1853233
224	979.5705929
225	978.8875193
226	977.8906213
227	977.2479998
228	976.7035325
229	976.4604431
230	975.8267796
231	975.5614008
232	975.2414496
233	974.2317767
234	973.5678534
235	973.4668699
236	972.9543065
237	972.4003628
238	971.8410642
239	971.4152107
240	971.210387
241	970.6569891
242	970.1972756
243	969.9858022
244	969.4310344
245	969.0968299
246	968.2306104
247	968.0453063
248	967.3125875
249	966.3427335
250	966.0348615
251	965.5898248
252	965.5239264
253	964.6617775
254	963.859464
255	962.7990946
256	962.4272125
257	962.2702076
258	961.3183897
259	960.8065988
260	960.360331
261	959.4614705
262	958.7281527
263	958.3919312
264	958.0297175
265	957.3400161
266	957.0881356
267	956.6053083
268	955.7445601
269	954.9825635
270	954.7642719
271	953.8288852
272	953.0809199
273	952.9097651
274	952.6155233
275	952.059891
276	951.877249
277	951.2372237
278	950.1062869
279	949.848329
280	949.1861577
281	949.0063391
282	948.6467266
283	947.6306061
284	947.0972785
285	946.1648664
286	946.0392646
287	945.8460473
288	945.3295802
289	944.6301888
290	944.178157
291	943.3356966
292	942.9189395
293	942.0980906
294	941.72246
295	941.0527879
296	940.6221063
297	940.3478162
298	940.2898236
299	939.8036956
300	939.0780122
301	938.710184
302	937.9236718
303	937.6351725
