iter	Passed	Remaining
0	36	184210
1	70	177171
2	118	197922
3	170	212730
4	220	220119
5	268	223564
6	320	228610
7	372	232671
8	426	236429
9	491	245435
10	532	241610
11	604	251253
12	678	260219
13	755	268989
14	795	264434
15	851	265088
16	905	265520
17	944	261355
18	992	260162
19	1043	259758
20	1093	259167
21	1148	259781
22	1180	255375
23	1232	255604
24	1277	254230
25	1325	253566
26	1377	253705
27	1426	253386
28	1481	253955
29	1529	253451
30	1567	251188
31	1621	251751
32	1678	252651
33	1734	253340
34	1786	253390
35	1840	253822
36	1893	253924
37	1927	251748
38	1970	250636
39	2017	250207
40	2069	250284
41	2123	250726
42	2143	247127
43	2193	247101
44	2244	247152
45	2296	247307
46	2348	247476
47	2402	247866
48	2454	247965
49	2506	248151
50	2557	248174
51	2611	248509
52	2662	248517
53	2717	248908
54	2769	248977
55	2817	248766
56	2873	249193
57	2927	249409
58	2982	249781
59	3031	249618
60	3088	250095
61	3144	250439
62	3197	250600
63	3252	250828
64	3305	250933
65	3359	251124
66	3414	251390
67	3466	251418
68	3520	251620
69	3575	251805
70	3628	251884
71	3675	251545
72	3721	251183
73	3771	251047
74	3813	250414
75	3863	250287
76	3896	249143
77	3944	248935
78	3997	248994
79	4058	249570
80	4088	248297
81	4145	248656
82	4205	249147
83	4264	249595
84	4329	250341
85	4387	250688
86	4461	251919
87	4523	252475
88	4538	250439
89	4606	251319
90	4666	251741
91	4723	251981
92	4777	252057
93	4799	250510
94	4811	248420
95	4863	248435
96	4914	248406
97	4971	248690
98	5024	248759
99	5115	250655
100	5191	251827
101	5267	252953
102	5324	253147
103	5390	253751
104	5442	253718
105	5497	253798
106	5548	253733
107	5600	253659
108	5652	253628
109	5702	253518
110	5750	253275
111	5798	253050
112	5850	253003
113	5899	252833
114	5946	252590
115	5997	252529
116	6048	252446
117	6098	252301
118	6116	250896
119	6172	251010
120	6228	251138
121	6281	251175
122	6335	251196
123	6391	251338
124	6443	251294
125	6493	251194
126	6540	250962
127	6590	250856
128	6647	251010
129	6701	251048
130	6720	249781
131	6776	249917
132	6830	249956
133	6886	250065
134	6940	250128
135	7005	250560
136	7061	250644
137	7122	250947
138	7182	251182
139	7241	251393
140	7296	251458
141	7360	251802
142	7384	250799
143	7436	250784
144	7491	250834
145	7545	250859
146	7609	251217
147	7663	251247
148	7680	250048
149	7728	249901
150	7781	249877
151	7817	249348
152	7871	249377
153	7912	248988
154	7936	248089
155	7985	247955
156	8039	248004
157	8084	247745
158	8134	247670
159	8183	247546
160	8233	247457
161	8286	247465
162	8296	246200
163	8348	246190
164	8404	246287
165	8456	246265
166	8511	246327
167	8534	245455
168	8587	245488
169	8641	245508
170	8693	245495
171	8743	245416
172	8793	245361
173	8846	245357
174	8896	245300
175	8966	245753
176	9019	245757
177	9072	245784
178	9124	245750
179	9177	245751
180	9229	245740
181	9282	245721
182	9335	245741
183	9383	245606
184	9429	245430
185	9477	245292
186	9525	245178
187	9580	245216
188	9632	245187
189	9678	245021
190	9727	244911
191	9781	244936
192	9837	245009
193	9895	245144
194	9952	245248
195	10007	245280
196	10058	245231
197	10116	245350
198	10172	245414
199	10224	245382
200	10281	245467
201	10334	245468
202	10387	245455
203	10440	245457
204	10495	245492
205	10555	245642
206	10607	245604
207	10661	245629
208	10713	245583
209	10765	245550
210	10817	245527
211	10868	245474
212	10921	245456
213	10970	245356
214	11026	245404
215	11080	245401
216	11133	245390
217	11184	245349
218	11234	245253
219	11289	245291
220	11343	245306
221	11395	245263
222	11450	245291
223	11504	245294
224	11559	245312
225	11613	245326
226	11666	245303
227	11719	245289
228	11775	245330
229	11825	245256
230	11883	245336
231	11935	245304
232	11990	245321
233	12046	245364
234	12105	245457
235	12161	245491
236	12211	245407
237	12263	245363
238	12316	245341
239	12367	245283
240	12418	245236
241	12471	245201
242	12516	245024
243	12567	244954
244	12615	244851
245	12665	244767
246	12712	244626
247	12757	244452
248	12805	244323
249	12852	244190
250	12899	244065
251	12949	243978
252	12986	243665
253	13032	243515
254	13084	243470
255	13132	243358
256	13181	243260
257	13228	243144
258	13274	242988
259	13323	242894
260	13370	242771
261	13417	242649
262	13466	242554
263	13518	242508
264	13563	242353
265	13614	242290
266	13659	242131
267	13706	242017
268	13762	242044
269	13814	242010
270	13866	241965
271	13916	241909
272	13970	241892
273	14024	241905
274	14080	241932
275	14137	241982
276	14191	241966
277	14241	241896
278	14293	241865
279	14349	241883
280	14399	241817
281	14451	241781
282	14506	241796
283	14559	241761
284	14609	241697
285	14679	241959
286	14732	241931
287	14787	241947
288	14848	242050
289	14902	242042
290	14959	242070
291	15014	242089
292	15071	242118
293	15125	242111
294	15178	242089
295	15228	242005
296	15282	241993
297	15339	242041
298	15394	242032
299	15449	242034
300	15503	242032
301	15560	242063
302	15616	242076
303	15670	242075
